category_id,state,title,type,naic_code,buyer,deadline,agency,contract_link,notice_id,purchasing_department,contact_office_name,contact_officer_number,contact_officer_email,keywords,description
"Supplies: Beverage, Food, Smallware Bids",AL,Bag Ice,State/Local,,"Baldwin County, Alabama",10-05-2022,"Baldwin County, Alabama",https://open.baldwincountyal.gov//BidsVendor/ActiveBids.aspx,WG22-35,Purchasing,,251-580-2520,,,WG22-35 Provision of Bag Ice
"Supplies: Beverage, Food, Smallware Bids",AL,Fresh Produce,State/Local,,Purchasing Association of Central Alabama,17-05-2022,Purchasing Association of Central Alabama,https://jeffcobids.jccal.org/Search.aspx,38-22,Purchasing,,205-325-5381,,,38-22 FRESH PRODUCE
"Supplies: Beverage, Food, Smallware Bids",AL,Fish Portions,State/Local,,State of Alabama,12-05-2022,State of Alabama,https://alabamabuys.gov/page.aspx/en/rfp/request_browse_public,SRC0000007750,Purchasing,,334-242-7250,,,"SRC0000007750 Fish Portions, ADOC Agency Contract Open for Bidding 5/12/2022"
"Supplies: Beverage, Food, Smallware Bids",AL,Bottled Water with Custom Label,State/Local,,University of Alabama,27-09-2022,University of Alabama,https://purchasing.ua.edu/standing-contracts/,UA21-187,Purchasing Officer,,205-348-5230,,,Bottled Water with Custom Label
"Supplies: Beverage, Food, Smallware Bids",CA,Compliance Analysis of Milk and Dairy Products,State/Local,,State of California,18-05-2022,State of California,https://caleprocure.ca.gov/event/8570/0000023114,23114,Purchasing Division,,800-559-5529,leticia.regalado@cdfa.ca.gov,,IFB No. 22-0019 Compliance Analysis of Milk and Dairy Products
"Supplies: Beverage, Food, Smallware Bids",CA,RFP for Fresh Produce,State/Local,,"East Side Union High School District, California",12-05-2022,"East Side Union High School District, California",https://www.esuhsd.org/documents/Community/Purchasing/2021%20-%202022/RFP-GP092122-Notice-to-Vendors.pdf,RFP GP092122,,,408-347-5000,,,Fresh Produce for Child Nutrition Services
"Supplies: Beverage, Food, Smallware Bids",CA,Campus Catering Milk & Dairy,State/Local,,"Clovis Unified School District, California",09-05-2022,"Clovis Unified School District, California",https://www.cusd.com/protected/ArticleView.aspx?iid=5G2II2&dasi=1B,Bid 2884,Purchasing,,559-327-9475,,,Bid 2884 - Campus Catering Milk & Dairy Bid
"Supplies: Beverage, Food, Smallware Bids",CO,Local Food Purchase Assistance Program,State/Local,,State of Colorado,25-05-2022,State of Colorado,http://www.colorado.gov/vss,2022000350,Purchasing Office,,303-866-6100,,,"RFA Request Local Food Purchase Assistance Program
RFP : 2022000350"
"Supplies: Beverage, Food, Smallware Bids",FL,Disposable Restaurant Supplies,State/Local,,"Seminole County Public Schools, Florida",12-05-2022,"Seminole County Public Schools, Florida",http://www.scps.k12.fl.us/purchasing/Home.aspx,21220127B-GM,Purchasing,,407-320-0000,,,21220127B-GM Disposable Restaurant Supplies
"Supplies: Beverage, Food, Smallware Bids",GA,Nutrition Contracted Services,State/Local,,DeKalb Preparatory Academy,10-06-2022,DeKalb Preparatory Academy,https://ssl.doas.state.ga.us/gpr/eventDetails?eSourceNumber=236449907012023N&sourceSystemType=doas,07012023N,Purchasing,,404-937-2000,swright1@dekalbprepacademy.org,,"REQUEST FOR PROPOSAL (RFP) FOOD SERVICE MANAGEMENT COMPANY SCHOOL NUTRITION PROGRAM NO. NutritionFy22-23 School Food Authority DeKalb Preparatory Academy School Nutrition Program Attention: Susan Wright, Chief Financial Officer 1402 Austin Drive Decatur, Georgia 30032"
"Supplies: Beverage, Food, Smallware Bids",GA,Food Safety and Sanitation Program,State/Local,,"Dougherty County Schools, Georgia",19-05-2022,"Dougherty County Schools, Georgia",https://ssl.doas.state.ga.us/gpr/eventDetails?eSourceNumber=2364710006-SNS-2023&sourceSystemType=doas,006-SNS-2023,Purchasing Manager,,229-431-1272,sharonda.thompson@docoschools.org,,The Dougherty County Board of Education School Nutrition Program (Board/SNP) is requesting sealed bids for a Food Safety and Sanitation Program.
