category_id,state,title,type,naic_code,buyer,deadline,agency,contract_link,notice_id,purchasing_department,contact_office_name,contact_officer_number,contact_officer_email,keywords,description
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",NC,Roof Replacement,State/Local,,"Raleigh, North Carolina",13-05-2022,"Raleigh, North Carolina",https://www.ips.state.nc.us/IPS/OpenBidSearch.aspx,274-604-2022-01A,Purchasing Manager,,919-890-3240,,,Raleigh Water is soliciting bids for the E.M. Johnson WTP Ozone Building and North Hills Pump Station Roof Replacement Project. The EM Johnson WTP roof replacement will be an EPDM ballast shift and membrane replacement while the North Hills Pump Station will be a fully adhered TPO roof.
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",NC,Gym Roof Replacement,State/Local,,"Guilford County Schools, North Carolina",28-04-2022,"Guilford County Schools, North Carolina",http://purchasing.gcsnc.com/RFQAttachments/Q6471AdforOakRidgeElementaryGymRoof.pdf,6471,Purchasing,,336-370-3242,,,"Gym Roof Replacement
Oak Ridge Elementary School
2050 Oak Ridge Road, Oak Ridge, NC 27310 Quote #6471"
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",NC,Roof Replacement,State/Local,,"Guilford County Schools, North Carolina",05-05-2022,"Guilford County Schools, North Carolina",http://purchasing.gcsnc.com/RFQAttachments/Q6470OakviewRoofREBID(002).pdf,6470,Purchasing,,336-370-3242,ricknuhn@nuhnbec.com,,"ROOF REPLACEMENT FOR OAKVIEW ELEMENTARY SCHOOL HIGH POINT, NORTH CAROLINA Quote #6470"
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",ND,Total Small Business Set-Aside (FAR 19.5) Heated Full Downdraft Spray Booth,Federal,,Department of Defense,09-05-2022,Department of Defense,https://sam.gov/opp/ca2cd3574ddd4df694e64bbc9b48dbc6/view,FA4528-22-Q-KM06,Purchasing,,703-695-7145,karel.mayo_castro@us.af.mil,,The 5th Logistical Readiness Squadron (5 LRS) of Minot AFB has a requirement for a Heated Full Downdraft Spray Booth. Specifications are included in the attached Statement of Work.
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",ND,Total Small Business Set-Aside (FAR 19.5): Heated Full Downdraft Spray Booth,Federal,,Department of Defense,09-05-2022,Department of Defense,https://sam.gov/opp/f4a3e669955d40cd8fcd7c350860bf38/view,FA4528-22-Q-KM06,Purchasing,,703-695-7145,karel.mayo_castro@us.af.mil,,The 5th Logistical Readiness Squadron (5 LRS) of Minot AFB has a requirement for a Heated Full Downdraft Spray Booth. Specifications are included in the attached Statement of Work.
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",OH,Holding House Gutter Replacement,State/Local,,State of Ohio,29-04-2022,State of Ohio,https://ohiobuys.ohio.gov/page.aspx/en/rfp/request_browse_public,SRC0000003756,Purchasing,,614-466-5090,,,SRC0000003756 Holding House Gutter Replacement at Hebron Fish Hatchery Quick Quote 4/18/2022 9:05:06 AM 4/29/2022 12:00:00 PM
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",OH,Bids for Roof Replacement at King Kennedy South Family,State/Local,,"Cuyahoga Metropolitan Housing Authority, Ohio",17-05-2022,"Cuyahoga Metropolitan Housing Authority, Ohio",https://www.cmha.net/business/index,41021,Purchasing,,216-348-5000,,,IFB Roof Replacement at King Kennedy South Family ñ Delaney and Renaissance
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",OH,Roof Replacement - Rec Center Bid Package,State/Local,,"Cleveland, Ohio",12-05-2022,"Cleveland, Ohio",https://www.clevelandohio.gov/node/167787,37-22,Purchasing,,216-664-2620,,,"Woodland Rec Center Bid Package #1, Roof Replacement"
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",OR,Roof Replacement,State/Local,,State of Oregon,05-05-2022,State of Oregon,https://oregonbuys.gov/bso/external/bidDetail.sdo?docId=S-P34048-00002710&external=true&parentUrl=close,RFP 21-0031,Purchasing Director,,503-378-4642,,,RFP 21-0031 A/E Five Oaks Roof Replacement
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",OR,Roof Restoration,State/Local,,State of Oregon,03-05-2022,State of Oregon,https://oregonbuys.gov/bso/external/bidDetail.sdo?docId=S-29100-00002629&external=true&parentUrl=close,S-29100-00002629,Purchasing Director,,503-378-4642,,,OSP ROOF RESTORATION
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",PA,Roof Replacement & Restoration,State/Local,,"North Penn School District, Pennsylvania",17-05-2022,"North Penn School District, Pennsylvania",https://www.npenn.org/,Bids,Purchasing,,215-368-0400,,,"PUBLIC NOTICE INVITATION FOR BID Sealed bids will be received by the North Penn School District, at the Educational Services Center located at 401 East Hancock Street, Lansdale, PA 19446 until 2:00 PM, Thursday, May 17, 2022 for: Natatorium Roof - North Penn High School Roof Replacement & Restoration - Gwyn Nor Elementary School The BIDS will be publicly opened at the time, date herein above listed. Full information regarding this request, including specifications, can be found on the North Penn School District‚Äôs website at www.npenn.org/bidspec."
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",PA,Roofing Replacement,State/Local,,"East Lansdowne Borough, Pennsylvania",06-05-2022,"East Lansdowne Borough, Pennsylvania",https://eastlansdowne.org/,Bids,Purchasing,,610-623-7131,,,"INVITATION TO BID EAST LANSDOWNE BOROUGH Roofing Replacement, HVAC Improvements, and Exterior Painting at East Lansdowne Borough Hall SEALED BIDS will be received by East Lansdowne Borough at the Borough Office, 155 Lexington Avenue, East Lansdowne, PA 19050, until Friday, May 6, 2022 at 9:00AM (prevailing time), and will be publicly opened and read at that time for the following project: Roofing Replacement, HVAC Improvements, and Exterior Painting at East Lansdowne Borough Hall. Proposal forms and specifications are obtainable from the East Lansdowne Borough office, weekdays between the hours of 9:00 AM and 4:00 PM. A non-refundable charge of $40.00 made payable to ‚ÄúEast Lansdowne Borough‚Äù is required for the purchase of a bid package. The bid package fee must be paid prior to the bid due date in order for bid to be considered. The Scope of Work includes replacement of the roof, upgrading the HVAC system, and painting the exterior of the Borough Hall in accordance with the plans prepared by Linn Architects, and as identified in the bid package. The East Lansdowne Borough Council reserves the right to reject any bid and to award the contract to the lowest responsible bidder whose services are judged to best meet the interest of the Borough. The Borough reserves the right to waive any informalities or minor irregularities during the evaluation of the bids. Prevailing wages are required to be paid and the determination is included. A Certified Check or Bid Bond for the amount of ten percent (10%) of the total bid price shall be required with bid submission. Performance and Payment Bonds will be required by the successful bidder in the amount of 100% of the contract price and shall be required at the time of contract execution. Bonds are to be issued by a surety company currently licensed to do business in the Commonwealth of Pennsylvania. The successful Contractor shall respond in writing to the Borough within ten (10) calendar days of the contract award. The performance period shall be ninety (90) calendar days, weather permitting, following the award of the contract. William Callahan Manager, East Lansdowne Borough 155 Lexington Avenue East Lansdowne, PA 19050"
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",PA,Roofing Replacement,State/Local,,"Lansdowne Borough, Pennsylvania",06-05-2022,"Lansdowne Borough, Pennsylvania",https://www.lansdowneborough.com/,Bids,Purchasing,,610-623-1332,,,"INVITATION TO BID EAST LANSDOWNE BOROUGH Roofing Replacement, HVAC Improvements, and Exterior Painting at East Lansdowne Borough Hall SEALED BIDS will be received by East Lansdowne Borough at the Borough Office, 155 Lexington Avenue, East Lansdowne, PA 19050, until Friday, May 6, 2022 at 9:00AM (prevailing time), and will be publicly opened and read at that time for the following project: Roofing Replacement, HVAC Improvements, and Exterior Painting at East Lansdowne Borough Hall. Proposal forms and specifications are obtainable from the East Lansdowne Borough office, weekdays between the hours of 9:00 AM and 4:00 PM. A non-refundable charge of $40.00 made payable to ‚ÄúEast Lansdowne Borough‚Äù is required for the purchase of a bid package. The bid package fee must be paid prior to the bid due date in order for bid to be considered. The Scope of Work includes replacement of the roof, upgrading the HVAC system, and painting the exterior of the Borough Hall in accordance with the plans prepared by Linn Architects, and as identified in the bid package. The East Lansdowne Borough Council reserves the right to reject any bid and to award the contract to the lowest responsible bidder whose services are judged to best meet the interest of the Borough. The Borough reserves the right to waive any informalities or minor irregularities during the evaluation of the bids. Prevailing wages are required to be paid and the determination is included. A Certified Check or Bid Bond for the amount of ten percent (10%) of the total bid price shall be required with bid submission. Performance and Payment Bonds will be required by the successful bidder in the amount of 100% of the contract price and shall be required at the time of contract execution. Bonds are to be issued by a surety company currently licensed to do business in the Commonwealth of Pennsylvania. The successful Contractor shall respond in writing to the Borough within ten (10) calendar days of the contract award. The performance period shall be ninety (90) calendar days, weather permitting, following the award of the contract. William Callahan Manager, East Lansdowne Borough 155 Lexington Avenue East Lansdowne, PA 19050"
"Trades and Subcontracts: Roofing, Gutters, Canopy Bids",PA,Metal Roof Installation Project,State/Local,,"Darlington Township, Pennsylvania",09-05-2022,"Darlington Township, Pennsylvania",https://www.darlingtontwp.com/,Bids,Purchasing,,724-827-8739,,,"ADVERTISEMENT FOR BIDS SEALED PROPOSALS will be received by the Board of Supervisors of Darlington Township, Beaver County, Pennsylvania until 2:30 P.M., prevailing time on Monday, May 9, 2022 at the Darlington Township Municipal Building - 3590 Darlington Road, Darlington, PA 16115 and publicly opened and read aloud immediately thereafter for providing all labor and material for the 2022 Metal Roof Installation Project in Darlington Township, Beaver County, PA. A mandatory walk-through and pre-bid meeting will be held at the Darlington Township Municipal Building on Wednesday, May 4, 2022, at 1:00 P.M. No bid will be considered from a bidder who does not attend. The contract documents are available at no cost electronically by email request to the Township Engineer at jeffery.frye@mbakerintl.com. Documents may be examined at the Township office and picked up at the same for a fee of $30 or will be mailed for an additional fee of $15. Documents are also available from the Engineer: Michael Baker International, 100 Airside Dr. Moon Twp., PA 15108, Ph. 412-269-6060. Each bid shall be accompanied by a Bid Bond, with original Power of Attorney or Certified Check payable to Darlington Township in an amount of not less than ten percent (10%) of the bid total. All bids shall be irrevocable for 60 days after the bid opening date as provided by the Act of November 26, 1978 (P.L. 1309, No. 317), as amended by the Act of December 12, 1994 (P.L. 1042, No. 142). Bidders must comply with all State anti-bid-rigging regulations pertaining to work associated with this project and will be required to submit an executed non-collusion affidavit with the bid. The estimated cost for the Contract is greater than Twenty-five Thousand Dollars ($25,000) and the Pennsylvania Prevailing Wage Act shall apply. Bidders should refer to provisions of federal and state statutes, rules and regulations dealing with the prevention of environmental pollution and preservation of public natural resources that affect the project, said provisions being pursuant to Act No. 247 of the General Assembly of the Commonwealth of Pennsylvania, approved October 26, 1972. All bidders are hereby notified that in regard to any contract pursuant to this advertisement, businesses will be afforded full opportunity to submit bids in response to this notice and will not be subjected to discrimination on the basis of gender, race, color, creed, sex, age, physical disability or national origin in consideration for an award. Similarly, the successful bidder shall in no manner discriminate against or intimidate any employee involved in the manufacture of supplies, the performance of work, or any other activity required under the contract on account of gender, race, creed or color. Darlington Township reserves the right to waive any defects, errors, omissions, mistakes, informalities, to accept any bid or combination of bids that are deemed to be in the best interest of the Township, and to reject any or all proposals. Brenna Boyd, Secretary Township of Darlington 3590 Darlington Road Darlington, PA"
